gender,d1,p1,app_name,mime_type,n1,cc
Male,0,1,Tres-Zap,video/x-msvideo,16.9,US
Male,1,2,Latlux,application/pdf,19.4,US
Male,1,3,Keylex,application/mspowerpoint,12.2,US
Female,1,7,Aerified,application/pdf,7.3,US
Female,0,4,Lotlux,application/x-mspowerpoint,11.7,FR
Male,0,4,Wrapsafe,image/gif,15.7,FR
Male,0,3,Fixflex,image/jpeg,19.7,DE
Male,1,2,Flowdesk,image/jpeg,12.5,US
Female,1,4,Aerified,image/pjpeg,1.3,FR
Male,0,3,Bitchip,application/excel,4.7,FR
Female,1,2,Latlux,application/pdf,2.4,FR
Female,0,4,Rank,video/x-msvideo,15.7,FR
Male,1,3,Zamit,video/avi,14.5,FR
Female,0,0,Job,image/pjpeg,15.0,US
Male,0,4,Sonair,application/x-mspowerpoint,12.4,FR
Male,0,5,Sonsing,video/msvideo,3.6,FR
Female,1,3,Wrapsafe,application/powerpoint,13.1,FR
Female,0,3,Flexidy,audio/mpeg3,19.6,FR
Male,1,4,Subin,application/vnd.ms-powerpoint,20.9,US
Male,1,3,Zaam-Dox,image/tiff,22.3,GB
Male,1,3,Alphazap,application/x-mspowerpoint,23.3,FR
Female,0,2,Greenlam,application/vnd.ms-excel,1.7,IT
Male,1,2,Alpha,video/quicktime,13.5,US
Female,0,2,Home Ing,image/jpeg,16.9,DE
