gender,d1,p1,app_name,mime_type,n1,cc
Male,0,4,Konklab,video/mpeg,18.2,FR
Female,1,3,Aerified,application/x-troff-msvideo,20.4,FR
Male,0,2,Zontrax,application/x-excel,11.6,US
Female,0,6,Overhold,video/x-mpeg,16.6,IL
Female,0,3,Pannier,application/powerpoint,13.3,US
Male,1,0,Subin,application/x-troff-msvideo,13.2,US
Female,1,5,Lotlux,audio/mpeg3,19.9,FR
Male,1,1,Konklux,application/vnd.ms-powerpoint,11.2,FR
Male,1,1,Latlux,application/vnd.ms-powerpoint,2.0,DE
Male,0,2,Namfix,application/x-excel,1.1,FR
Female,1,0,Sub-Ex,video/x-msvideo,10.5,IL
Female,0,1,Voltsillam,application/x-excel,9.2,US
Female,0,2,Tresom,application/pdf,18.9,US
Female,1,5,Zoolab,image/pjpeg,13.8,FR
Female,1,3,Cardguard,application/msword,15.7,FR
Male,1,2,Ronstring,application/x-troff-msvideo,17.8,FR
Male,1,2,Stringtough,image/gif,21.3,FR
Female,0,4,Tempsoft,image/pjpeg,18.8,US
Male,0,3,Tres-Zap,video/x-mpeg,11.7,FR
Male,1,4,Bamity,application/powerpoint,3.4,FR
Female,1,3,Wrapsafe,video/x-mpeg,1.0,GB
Female,1,2,Regrant,text/plain,6.9,US
Male,1,3,Kanlam,video/mpeg,8.9,US
