gender,d1,p1,app_name,mime_type,n1,cc
Female,0,2,Trippledex,image/x-tiff,22.3,DE
Female,1,4,Y-Solowarm,application/x-msexcel,10.0,US
Female,1,2,Toughjoyfax,audio/mpeg3,3.6,FR
Female,1,4,Cardify,video/quicktime,14.1,US
Female,0,1,Trippledex,image/tiff,8.9,IL
Male,0,4,Otcom,application/x-mspowerpoint,12.9,GB
Male,1,2,Home Ing,image/jpeg,4.8,DE
Female,1,2,Stronghold,image/tiff,20.5,FR
Male,1,4,Zaam-Dox,video/mpeg,22.9,FR
Male,0,7,Domainer,video/avi,12.6,DE
Female,0,3,Tempsoft,video/x-msvideo,10.6,FR
Female,0,2,Tampflex,application/powerpoint,11.9,FR
Male,0,3,Biodex,video/x-msvideo,24.3,US
Male,0,1,Zontrax,image/jpeg,7.1,US
Male,1,2,Alpha,application/powerpoint,20.6,FR
Male,1,2,Opela,video/mpeg,14.6,GB
Male,0,3,Temp,image/png,8.1,FR
Female,0,3,Flowdesk,application/mspowerpoint,24.8,US
Female,1,4,Konklux,video/avi,6.9,FR
Male,0,4,Otcom,application/vnd.ms-powerpoint,18.3,US
Female,0,3,Temp,video/quicktime,4.8,US
Female,1,5,Greenlam,application/x-excel,10.6,FR
Male,1,1,Tresom,image/jpeg,23.7,FR
Female,0,2,Rank,image/jpeg,1.8,US
Female,1,4,Tampflex,video/x-msvideo,16.4,FR
