gender,d1,p1,app_name,mime_type,n1,cc
Female,0,4,Solarbreeze,image/pjpeg,4.9,US
Female,0,1,Asoka,application/mspowerpoint,22.9,US
Male,1,5,Zathin,video/mpeg,4.5,FR
Male,1,4,Sub-Ex,image/tiff,24.5,US
Female,0,1,Latlux,video/avi,5.6,FR
Male,1,2,Cardify,application/vnd.ms-excel,11.9,FR
Female,0,2,Sonair,image/x-tiff,10.2,FR
Female,1,2,Holdlamis,application/x-troff-msvideo,7.6,US
Male,0,3,Y-find,audio/mpeg3,10.9,US
Male,1,4,Namfix,application/excel,18.9,FR
Male,1,3,Flexidy,application/pdf,14.6,US
Male,1,2,Cardify,application/x-excel,3.0,US
Female,1,3,Vagram,image/x-tiff,4.6,US
Female,1,1,Sonair,application/vnd.ms-excel,9.1,IT
Male,0,2,Zaam-Dox,audio/mpeg3,12.6,US
Female,1,2,Cardify,video/msvideo,19.6,FR
Male,0,2,Tempsoft,video/x-mpeg,17.3,FR
Male,0,4,Vagram,image/png,2.4,FR
Female,0,2,Prodder,application/x-troff-msvideo,24.5,FR
Male,1,1,Cardify,video/mpeg,20.9,FR
Female,0,5,Tres-Zap,image/png,6.6,DE
Male,1,0,Zaam-Dox,video/avi,21.9,FR
Female,1,2,Subin,application/msword,1.9,FR
Female,1,1,Asoka,image/png,20.4,IL
Male,0,1,Bitwolf,text/plain,16.1,FR
