gender,d1,p1,app_name,mime_type,n1,cc
Male,1,2,Treeflex,video/quicktime,3.1,FR
Male,0,5,Transcof,application/pdf,16.0,FR
Male,1,3,Tempsoft,application/pdf,8.3,US
Male,1,4,Zoolab,application/msword,18.4,FR
Female,1,2,Cardguard,image/gif,20.0,IL
Male,1,2,Job,application/x-excel,18.5,FR
Female,1,4,Aerified,video/avi,20.5,FR
Male,1,5,Ronstring,application/mspowerpoint,7.8,FR
Male,0,4,Kanlam,application/vnd.ms-excel,24.6,FR
Female,1,4,Zoolab,application/x-msexcel,8.6,US
Male,1,3,Span,application/excel,21.2,US
Female,0,2,Regrant,image/gif,16.0,GB
Male,0,3,Zoolab,application/x-msexcel,9.5,FR
Female,1,3,Namfix,video/msvideo,5.6,FR
Female,1,2,Prodder,video/mpeg,17.6,FR
Male,0,6,Y-find,image/png,14.8,IL
Male,1,3,Tampflex,application/x-msexcel,5.0,FR
Female,0,4,Trippledex,image/gif,4.2,US
Male,1,2,Konklab,application/vnd.ms-excel,24.8,US
Male,1,2,Temp,image/jpeg,19.6,DE
Male,0,1,Temp,application/mspowerpoint,4.5,FR
Male,0,1,Domainer,video/mpeg,22.8,US
Male,0,0,Tresom,application/msword,24.0,FR
Female,0,3,Lotstring,application/x-msexcel,4.5,FR
Male,0,6,Domainer,image/x-tiff,12.1,DE
