gender,d1,p1,app_name,mime_type,n1,cc
Female,0,4,Gembucket,video/quicktime,14.8,US
Female,0,5,Opela,application/vnd.ms-powerpoint,5.7,DE
Female,1,5,Sonair,text/plain,7.5,DE
Male,0,1,Sonair,application/x-troff-msvideo,13.9,DE
Male,0,4,Trippledex,application/x-excel,11.8,US
Male,0,2,Quo Lux,video/x-mpeg,13.8,US
Male,0,6,Cardguard,application/x-mspowerpoint,10.3,DE
Male,0,6,Kanlam,image/jpeg,3.4,US
Male,1,4,Transcof,image/jpeg,5.3,FR
Female,0,2,Viva,video/mpeg,11.6,FR
Male,1,2,Zaam-Dox,application/vnd.ms-powerpoint,19.1,FR
Female,1,2,Zontrax,video/msvideo,9.8,FR
Male,0,2,Latlux,audio/x-mpeg-3,24.1,IL
Male,1,3,Wrapsafe,application/x-mspowerpoint,19.1,US
Female,1,5,Voyatouch,image/png,12.8,US
Female,1,1,Fixflex,image/gif,2.5,US
Female,0,1,Tampflex,application/x-msexcel,17.4,FR
Male,1,5,Zontrax,image/pjpeg,7.1,FR
Female,1,3,Zamit,application/msword,19.5,FR
Female,1,2,Treeflex,image/x-tiff,21.6,FR
Male,0,1,Duobam,application/excel,24.3,DE
Female,0,5,Zathin,application/msword,7.2,US
Male,1,5,Rank,video/mpeg,15.3,DE
Female,0,5,Latlux,image/tiff,7.8,US
