gender,d1,p1,app_name,mime_type,n1,cc
Female,0,1,Veribet,image/gif,11.3,FR
Female,0,5,Ronstring,video/msvideo,18.6,IL
Male,0,2,Tin,application/excel,1.7,US
Female,0,4,Rank,application/msword,7.9,FR
Male,0,3,Flowdesk,application/pdf,6.0,FR
Female,0,2,Tresom,image/pjpeg,5.5,FR
Male,1,3,Tresom,image/jpeg,7.2,US
Male,1,4,Namfix,image/tiff,11.7,IT
Female,0,4,Tin,application/x-mspowerpoint,17.2,IL
Male,1,4,Stim,application/x-excel,8.1,FR
Female,1,4,Otcom,image/png,24.5,FR
Female,1,4,Aerified,video/mpeg,9.6,GB
Female,1,5,Duobam,image/jpeg,16.8,US
Female,0,4,Bamity,application/vnd.ms-powerpoint,18.4,FR
Male,1,4,Home Ing,image/tiff,2.1,US
Male,1,5,Mat Lam Tam,image/png,17.7,FR
Male,1,4,Job,application/vnd.ms-excel,20.9,US
Female,1,2,Tres-Zap,video/quicktime,12.2,IL
Male,1,3,Lotstring,video/mpeg,22.3,FR
Female,0,2,Tampflex,application/vnd.ms-excel,10.3,FR
Male,1,4,Transcof,video/mpeg,22.3,FR
Female,0,1,Lotlux,video/quicktime,12.8,US
Male,1,2,Fix San,application/msword,8.6,US
Male,1,4,Konklab,audio/mpeg3,22.5,US
Female,1,0,Quo Lux,image/x-tiff,13.9,US
