gender,d1,p1,app_name,mime_type,n1,cc
Female,0,2,Wrapsafe,image/tiff,5.2,FR
Male,0,6,Biodex,image/x-tiff,6.6,FR
Male,1,0,Tresom,video/mpeg,23.6,US
Male,1,5,Tres-Zap,application/mspowerpoint,4.8,FR
Female,0,4,Lotlux,image/x-tiff,16.6,US
Female,0,3,Biodex,application/vnd.ms-excel,2.7,US
Male,0,4,Stronghold,text/plain,13.1,IL
Female,0,2,Zamit,image/x-tiff,3.3,FR
Male,0,4,Subin,text/plain,23.0,US
Male,0,4,Greenlam,audio/x-mpeg-3,15.7,FR
Female,0,4,Regrant,video/msvideo,20.4,FR
Female,0,4,Cookley,image/jpeg,21.0,FR
Male,1,2,Y-Solowarm,application/x-troff-msvideo,11.4,US
Female,1,6,Toughjoyfax,image/jpeg,3.5,FR
Male,1,3,Namfix,application/powerpoint,21.3,GB
Female,0,2,Tres-Zap,application/msword,11.3,US
Female,1,5,Fix San,application/powerpoint,1.5,FR
Male,0,1,Temp,text/plain,9.5,FR
Male,0,2,Zontrax,video/msvideo,1.2,FR
Female,1,4,Opela,video/x-msvideo,2.0,FR
Female,1,2,Keylex,video/mpeg,8.8,FR
Male,0,5,Flowdesk,application/powerpoint,23.8,US
Female,0,3,Fixflex,image/tiff,16.8,FR
Female,0,1,Tres-Zap,audio/mpeg3,5.5,US
Male,1,4,Kanlam,application/vnd.ms-powerpoint,22.9,FR
