gender,d1,p1,app_name,mime_type,n1,cc
Male,0,7,Prodder,video/quicktime,17.4,DE
Male,1,2,Stringtough,application/x-mspowerpoint,11.7,FR
Male,0,5,Tin,video/avi,23.7,FR
Female,0,5,Stim,video/quicktime,12.8,US
Male,0,4,Tresom,application/vnd.ms-powerpoint,2.5,US
Male,1,3,Asoka,application/msword,7.9,US
Female,0,5,Tin,application/x-troff-msvideo,15.9,FR
Male,1,4,Konklab,application/msword,21.0,FR
Male,1,2,Biodex,video/quicktime,9.7,US
Male,0,4,Bitchip,application/mspowerpoint,9.4,FR
Male,0,1,Bitwolf,text/plain,16.1,FR
Female,0,6,Y-Solowarm,image/png,3.0,US
Female,0,1,Sub-Ex,image/tiff,20.2,FR
Male,0,6,Sonair,video/mpeg,12.6,US
Female,1,4,Biodex,application/mspowerpoint,22.3,FR
Male,0,4,Andalax,video/x-msvideo,17.2,FR
Female,0,4,Ventosanzap,application/x-msexcel,19.3,US
Male,0,2,Tampflex,image/gif,17.1,US
Female,1,1,Span,application/vnd.ms-powerpoint,14.4,US
Female,1,3,Veribet,video/msvideo,10.0,FR
Male,1,4,Transcof,image/jpeg,5.3,FR
Female,0,3,Fintone,application/x-excel,7.9,US
Male,0,4,Zamit,application/x-troff-msvideo,10.3,US
Female,1,1,Viva,video/avi,24.2,FR
