gender,d1,p1,app_name,mime_type,n1,cc
Male,1,5,Zontrax,audio/mpeg3,11.4,FR
Male,0,3,Temp,application/mspowerpoint,8.7,US
Female,1,2,Wrapsafe,video/x-mpeg,5.8,US
Male,0,4,Tresom,application/x-msexcel,1.1,US
Male,1,3,Bitwolf,application/mspowerpoint,18.3,US
Female,0,5,Y-Solowarm,video/mpeg,23.1,US
Male,1,2,Overhold,video/mpeg,5.7,FR
Female,0,1,Tres-Zap,video/x-msvideo,9.7,IT
Male,1,3,Y-Solowarm,application/excel,13.4,US
Male,1,2,Prodder,video/quicktime,17.8,FR
Male,1,2,Veribet,video/quicktime,2.6,FR
Female,0,5,Alphazap,video/mpeg,9.4,FR
Male,0,2,Stim,image/tiff,14.3,FR
Male,1,0,Prodder,application/powerpoint,7.3,US
Female,0,2,Viva,application/pdf,5.0,IT
Female,1,5,Bytecard,image/png,11.0,FR
Female,0,2,Kanlam,image/x-tiff,11.8,FR
Male,0,2,It,application/powerpoint,8.5,FR
Female,1,3,Ventosanzap,image/tiff,14.4,FR
Male,1,3,Fix San,application/x-troff-msvideo,5.2,GB
Female,0,1,Sonair,application/x-troff-msvideo,8.6,DE
Female,0,4,It,application/powerpoint,10.7,DE
Male,0,2,Bamity,video/x-msvideo,10.9,FR
Female,1,2,Ronstring,application/powerpoint,7.3,US
