gender,d1,p1,app_name,mime_type,n1,cc
Female,1,8,Zathin,video/x-msvideo,4.7,FR
Female,0,3,Opela,video/msvideo,22.5,FR
Male,0,2,Voyatouch,image/gif,12.6,FR
Male,0,0,Viva,application/mspowerpoint,13.3,FR
Female,0,4,Wrapsafe,image/x-tiff,16.2,US
Male,0,2,Temp,video/mpeg,24.4,FR
Female,0,5,Ronstring,video/msvideo,18.6,IL
Female,1,3,Home Ing,application/mspowerpoint,5.9,IT
Female,1,0,Fix San,application/pdf,23.7,FR
Female,0,1,Andalax,application/x-mspowerpoint,10.1,US
Male,0,4,Latlux,audio/x-mpeg-3,14.8,FR
Male,0,0,Voltsillam,image/jpeg,14.1,FR
Male,1,2,Transcof,application/x-excel,1.8,US
Female,1,3,Bamity,application/x-troff-msvideo,19.2,FR
Male,0,3,Solarbreeze,application/powerpoint,22.2,FR
Male,0,4,Konklux,image/x-tiff,5.3,FR
Male,0,4,Zathin,application/vnd.ms-excel,3.3,US
Male,0,5,Keylex,video/msvideo,8.8,US
Male,1,2,Sonsing,video/mpeg,2.5,US
Male,1,0,Transcof,application/pdf,15.2,US
Female,0,3,Bytecard,audio/x-mpeg-3,12.5,US
Male,0,4,Rank,text/plain,16.6,FR
Male,0,3,Bamity,image/pjpeg,5.9,FR
Male,1,4,Stringtough,video/x-msvideo,11.7,FR
