gender,d1,p1,app_name,mime_type,n1,cc
Male,0,3,Biodex,text/plain,7.1,FR
Female,1,2,Regrant,application/vnd.ms-excel,24.4,US
Male,1,2,Ronstring,image/gif,6.1,US
Male,1,0,Toughjoyfax,video/avi,8.1,GB
Male,0,3,Solarbreeze,application/vnd.ms-powerpoint,1.6,DE
Female,1,0,Redhold,image/gif,14.3,US
Female,0,5,Viva,video/avi,8.3,IL
Male,0,2,Y-find,application/powerpoint,5.6,FR
Female,0,3,Redhold,application/msword,15.9,US
Female,1,2,Zathin,image/gif,20.4,FR
Male,0,3,Zathin,text/plain,2.6,US
Female,1,1,Greenlam,video/mpeg,15.2,US
Male,0,4,Y-Solowarm,application/mspowerpoint,4.0,US
Female,0,1,Bigtax,image/x-tiff,20.8,US
Male,0,4,Zamit,audio/mpeg3,15.6,FR
Female,0,4,Zoolab,video/mpeg,4.0,FR
Female,0,3,Fixflex,image/png,19.7,FR
Male,0,3,Subin,application/x-excel,4.4,US
Male,1,4,Temp,application/vnd.ms-excel,11.8,US
Male,1,6,Bitwolf,image/x-tiff,6.2,US
Male,1,1,Bitchip,text/plain,6.2,US
Female,0,4,Alphazap,application/excel,7.5,GB
Male,0,4,Stim,application/pdf,24.4,FR
Male,0,4,Alpha,image/jpeg,21.7,US
Male,0,5,Home Ing,application/pdf,3.6,US
Female,1,0,Tres-Zap,application/pdf,9.1,FR
