gender,d1,p1,app_name,mime_type,n1,cc
Female,1,2,Flowdesk,image/png,10.2,DE
Male,1,7,Viva,video/quicktime,17.8,FR
Female,0,5,Ronstring,video/msvideo,18.6,IL
Female,1,1,Bitchip,application/vnd.ms-powerpoint,12.0,FR
Female,1,1,Solarbreeze,audio/x-mpeg-3,3.9,FR
Female,0,2,Zoolab,application/x-mspowerpoint,22.6,FR
Female,1,5,Treeflex,application/pdf,5.3,FR
Male,0,6,Aerified,video/mpeg,11.3,FR
Female,1,4,Transcof,application/pdf,20.7,FR
Male,0,1,Voyatouch,application/x-excel,8.1,FR
Female,0,3,Temp,audio/mpeg3,3.6,FR
Female,1,1,Veribet,application/pdf,6.0,FR
Male,1,1,Hatity,application/x-excel,2.5,FR
Female,0,4,Ventosanzap,video/msvideo,5.5,US
Female,1,2,Cardify,application/x-troff-msvideo,12.3,DE
Male,0,5,Lotlux,video/avi,16.6,FR
Female,1,2,Redhold,application/vnd.ms-excel,9.7,US
Male,1,3,Pannier,image/png,22.0,FR
Male,1,4,Trippledex,application/x-excel,18.2,FR
Male,0,4,Konklux,text/plain,8.8,FR
Male,0,4,Flowdesk,application/x-troff-msvideo,17.4,FR
Female,0,0,Redhold,application/msword,20.1,US
Female,0,4,Biodex,application/powerpoint,23.8,FR
