gender,d1,p1,app_name,mime_type,n1,cc
Female,0,6,Vagram,image/png,23.5,FR
Female,0,2,Biodex,image/gif,19.5,US
Male,0,2,Holdlamis,image/png,21.9,US
Male,0,6,It,application/x-excel,4.0,FR
Male,1,2,Voyatouch,image/jpeg,15.7,FR
Female,1,1,Sub-Ex,video/msvideo,1.9,US
Male,1,1,Domainer,image/gif,17.8,GB
Female,1,6,Y-find,audio/x-mpeg-3,14.4,FR
Female,0,4,Zaam-Dox,audio/x-mpeg-3,2.5,FR
Male,0,1,Bigtax,video/mpeg,2.6,FR
Female,1,4,Y-find,application/x-mspowerpoint,14.1,FR
Male,1,5,Quo Lux,application/x-troff-msvideo,4.1,FR
Female,1,3,Fix San,text/plain,12.0,FR
Female,1,2,Gembucket,video/x-mpeg,1.6,FR
Female,0,2,Namfix,image/png,7.9,US
Male,1,8,Tempsoft,image/pjpeg,7.8,IT
Male,1,3,Zamit,video/avi,14.5,FR
Female,1,4,Zoolab,image/jpeg,5.6,US
Female,1,3,Cardguard,application/x-troff-msvideo,18.9,FR
Female,1,5,Flowdesk,video/avi,20.1,FR
Female,0,3,Temp,audio/x-mpeg-3,23.8,FR
Female,1,1,Bamity,image/x-tiff,5.2,US
Female,1,0,Ventosanzap,application/x-excel,9.4,FR
Female,1,3,Cardguard,application/msword,17.6,FR
Female,0,3,Sub-Ex,video/msvideo,6.3,FR
