gender,d1,p1,app_name,mime_type,n1,cc
Male,0,8,Bigtax,image/x-tiff,21.8,FR
Female,0,7,Bamity,application/x-troff-msvideo,9.7,FR
Female,1,2,Redhold,audio/mpeg3,23.3,US
Female,1,2,Opela,video/avi,14.6,FR
Female,0,3,Trippledex,application/vnd.ms-excel,15.8,US
Male,1,3,Cardguard,application/x-msexcel,15.1,GB
Female,1,2,Zoolab,video/msvideo,21.4,FR
Female,1,3,Trippledex,image/tiff,7.9,FR
Female,0,0,Voltsillam,application/powerpoint,5.4,US
Male,0,6,Transcof,video/avi,5.9,FR
Female,0,2,Tres-Zap,application/x-excel,17.6,FR
Female,0,3,Tempsoft,audio/mpeg3,16.2,US
Female,0,4,Bigtax,video/x-mpeg,20.8,FR
Male,0,6,Stronghold,image/pjpeg,17.4,US
Male,0,5,Subin,image/png,24.6,FR
Male,1,1,Zathin,audio/x-mpeg-3,14.6,US
Male,0,2,Bitchip,video/x-msvideo,8.5,FR
Male,0,5,Wrapsafe,image/jpeg,3.3,US
Male,0,3,Y-Solowarm,application/mspowerpoint,4.6,US
Male,1,2,Fixflex,video/x-mpeg,5.0,FR
Female,1,4,Pannier,application/x-mspowerpoint,2.3,US
Male,1,6,Regrant,audio/mpeg3,16.7,FR
Female,0,2,Greenlam,video/msvideo,11.7,US
Male,1,2,Stronghold,image/gif,10.2,US
Male,0,2,Bamity,video/x-msvideo,10.9,FR
