gender,d1,p1,app_name,mime_type,n1,cc
Female,0,2,Cardguard,application/x-mspowerpoint,14.2,FR
Female,1,4,Keylex,application/x-excel,15.0,FR
Male,0,3,Konklux,application/mspowerpoint,17.5,GB
Female,1,3,Fintone,application/x-troff-msvideo,11.4,US
Male,0,0,Lotlux,application/mspowerpoint,19.1,FR
Female,1,3,Regrant,application/vnd.ms-powerpoint,19.5,US
Male,1,2,Treeflex,video/avi,15.1,US
Female,1,3,Bytecard,application/msword,6.6,US
Female,0,4,Rank,audio/mpeg3,20.5,FR
Female,1,3,It,application/powerpoint,21.3,FR
Female,0,3,Mat Lam Tam,application/vnd.ms-powerpoint,18.1,US
Female,0,5,Sonsing,application/excel,1.6,US
Male,0,1,Otcom,image/jpeg,20.1,FR
Male,0,3,Solarbreeze,image/gif,23.2,FR
Female,1,4,Fintone,application/msword,8.4,US
Male,1,2,Holdlamis,application/vnd.ms-excel,23.7,DE
Female,0,5,Tres-Zap,image/png,6.6,DE
Female,0,2,Tresom,image/pjpeg,12.8,FR
Male,0,1,Regrant,image/pjpeg,4.9,US
Male,1,2,Domainer,video/msvideo,8.6,FR
Male,1,4,Biodex,image/pjpeg,14.0,US
Male,1,1,Holdlamis,video/avi,6.1,FR
Male,0,3,Ronstring,application/excel,24.7,DE
