gender,d1,p1,app_name,mime_type,n1,cc
Female,0,5,Ronstring,application/x-excel,23.3,IL
Male,0,3,It,image/gif,20.3,DE
Male,0,2,Matsoft,audio/x-mpeg-3,4.1,FR
Female,0,4,Alphazap,image/pjpeg,14.0,FR
Male,0,7,Cardguard,audio/x-mpeg-3,23.4,US
Female,1,3,Cookley,application/pdf,22.5,FR
Female,0,1,Tres-Zap,video/x-mpeg,24.2,FR
Female,1,2,Toughjoyfax,application/x-msexcel,4.5,FR
Female,0,5,Hatity,application/x-excel,11.6,FR
Female,1,1,Ronstring,application/vnd.ms-powerpoint,7.9,US
Male,0,4,Biodex,video/avi,14.5,US
Male,0,3,Zontrax,video/quicktime,14.5,FR
Female,1,1,Voltsillam,video/msvideo,14.3,FR
Female,0,1,Tres-Zap,image/png,3.6,FR
Male,1,0,Biodex,video/mpeg,1.1,FR
Male,0,1,Solarbreeze,image/gif,9.9,FR
Male,0,0,Treeflex,video/mpeg,23.7,FR
Male,0,1,Otcom,video/x-mpeg,8.3,US
Male,0,2,Tresom,application/x-mspowerpoint,9.7,US
Male,1,6,Holdlamis,application/vnd.ms-excel,2.6,FR
Female,1,5,Voltsillam,video/x-msvideo,2.1,FR
Male,1,1,Domainer,application/pdf,1.4,FR
Male,0,3,Zathin,video/mpeg,19.0,US
Female,1,3,Cardguard,image/x-tiff,16.3,US
Male,1,3,Voltsillam,video/mpeg,14.1,US
