gender,d1,p1,app_name,mime_type,n1,cc
Male,0,2,Hatity,application/x-troff-msvideo,8.0,US
Female,1,2,Andalax,video/x-msvideo,1.7,US
Female,1,1,Bigtax,application/mspowerpoint,5.2,US
Male,0,0,Rank,application/excel,12.7,FR
Male,1,3,Cardify,video/x-mpeg,19.7,DE
Female,0,3,Alpha,application/x-msexcel,20.4,FR
Female,0,3,Rank,image/jpeg,12.4,IL
Male,1,4,Vagram,image/pjpeg,6.6,FR
Female,1,2,Treeflex,application/vnd.ms-excel,18.8,FR
Female,0,3,Lotstring,application/powerpoint,9.6,FR
Male,0,5,Fix San,video/x-mpeg,12.4,FR
Male,0,6,Andalax,video/msvideo,6.9,IT
Male,1,4,Fixflex,application/powerpoint,13.5,FR
Female,1,0,Holdlamis,application/msword,22.2,US
Female,1,4,Lotlux,audio/x-mpeg-3,8.4,FR
Female,0,2,Biodex,image/gif,19.5,US
Female,0,2,Tempsoft,application/vnd.ms-powerpoint,6.5,US
Female,1,3,Cardguard,application/mspowerpoint,6.0,FR
Male,1,1,Bigtax,application/x-troff-msvideo,8.7,US
Male,1,4,Wrapsafe,application/mspowerpoint,2.0,FR
Male,1,2,Keylex,application/x-troff-msvideo,10.1,US
Male,1,7,Overhold,video/mpeg,20.6,US
Female,1,4,Bitwolf,video/msvideo,24.2,FR
