gender,d1,p1,app_name,mime_type,n1,cc
Female,1,5,Konklux,video/x-mpeg,11.7,FR
Male,0,5,Lotstring,application/excel,23.7,IL
Male,0,4,Konklux,image/x-tiff,5.3,FR
Male,1,5,Stim,video/msvideo,9.7,FR
Female,0,2,Fintone,application/x-excel,16.9,US
Male,0,3,Zathin,application/x-msexcel,1.6,FR
Female,1,3,Tin,video/mpeg,12.6,FR
Female,1,4,Alpha,application/x-excel,3.8,US
Male,0,4,Sonair,video/quicktime,5.0,US
Male,1,5,Tampflex,application/x-mspowerpoint,23.4,FR
Female,1,4,Wrapsafe,video/mpeg,7.1,GB
Male,1,4,Opela,video/quicktime,16.8,FR
Male,1,3,Tampflex,application/x-mspowerpoint,14.1,US
Male,0,4,Cookley,video/quicktime,4.9,US
Male,1,3,Aerified,application/vnd.ms-excel,3.5,FR
Male,0,2,Hatity,application/vnd.ms-powerpoint,14.1,FR
Male,1,2,Sonair,video/quicktime,7.3,US
Female,1,2,Ventosanzap,image/jpeg,21.7,IL
Male,1,2,Mat Lam Tam,image/jpeg,9.0,FR
Male,1,4,Daltfresh,video/x-mpeg,16.7,FR
Female,1,4,Job,video/quicktime,20.3,FR
Male,1,2,Asoka,image/gif,18.1,GB
Male,1,1,Aerified,video/mpeg,15.3,FR
Female,1,6,Sonsing,application/x-excel,15.6,FR
Female,1,3,Bitwolf,application/mspowerpoint,5.3,FR
