gender,d1,p1,app_name,mime_type,n1,cc
Male,0,3,Redhold,video/mpeg,16.1,US
Male,0,5,Zoolab,image/png,18.7,US
Male,0,5,Bitchip,audio/x-mpeg-3,3.2,FR
Male,0,1,Lotstring,application/x-troff-msvideo,25.0,US
Male,1,6,Asoka,application/x-excel,16.0,US
Female,0,1,Job,video/mpeg,10.4,US
Male,0,4,Holdlamis,video/msvideo,17.7,IL
Male,0,3,Toughjoyfax,application/vnd.ms-powerpoint,15.3,US
Female,0,4,Vagram,application/x-excel,19.8,FR
Male,1,6,Lotstring,application/x-troff-msvideo,11.1,US
Female,1,5,Wrapsafe,video/x-msvideo,4.0,FR
Male,0,6,Stringtough,video/quicktime,13.2,FR
Female,1,2,Fix San,image/pjpeg,19.2,FR
Female,1,7,Solarbreeze,video/x-msvideo,18.1,US
Male,1,3,Ronstring,image/png,5.6,US
Female,0,4,Home Ing,video/quicktime,20.1,IL
Female,1,4,Cardguard,image/pjpeg,21.3,IL
Male,1,1,Alphazap,image/x-tiff,18.2,FR
Female,1,2,Vagram,application/x-excel,16.4,US
Male,1,4,Andalax,audio/mpeg3,19.3,FR
Female,0,6,Biodex,image/jpeg,23.2,US
Female,1,5,Vagram,application/x-excel,14.8,FR
Male,1,2,Tres-Zap,video/avi,7.5,DE
Female,0,8,Alphazap,application/vnd.ms-excel,20.3,IL
