gender,d1,p1,app_name,mime_type,n1,cc
Female,1,3,Cardguard,application/msword,15.7,FR
Female,0,5,Cardify,video/mpeg,18.1,GB
Male,0,1,Bitchip,text/plain,21.3,US
Male,0,2,Zontrax,image/x-tiff,9.4,FR
Female,1,1,Tin,audio/x-mpeg-3,23.0,FR
Female,0,2,Quo Lux,audio/mpeg3,22.2,FR
Female,0,3,Subin,video/mpeg,22.3,US
Male,1,2,Trippledex,text/plain,23.4,FR
Female,0,1,Trippledex,video/x-mpeg,23.6,US
Female,1,7,Veribet,text/plain,21.1,FR
Female,1,5,Trippledex,audio/mpeg3,11.0,GB
Male,0,4,Zaam-Dox,application/vnd.ms-powerpoint,10.9,IT
Male,1,7,Fix San,image/tiff,23.7,US
Male,0,6,Lotstring,application/mspowerpoint,22.5,FR
Male,1,4,Toughjoyfax,image/jpeg,12.7,FR
Male,1,1,Toughjoyfax,image/jpeg,21.1,FR
Male,1,6,Zamit,application/vnd.ms-powerpoint,2.3,US
Male,0,2,Overhold,application/pdf,3.5,FR
Female,0,7,Vagram,application/msword,12.0,FR
Male,1,5,Konklux,application/vnd.ms-excel,23.0,FR
Male,1,5,Tempsoft,application/x-troff-msvideo,7.8,US
Female,0,4,Home Ing,application/x-msexcel,2.2,FR
Male,1,2,Trippledex,text/plain,23.4,FR
Female,1,1,Bitchip,application/msword,15.3,FR
