gender,d1,p1,app_name,mime_type,n1,cc
Female,0,3,Zathin,video/avi,6.8,US
Male,1,0,Alpha,video/mpeg,16.9,FR
Male,0,2,Keylex,application/msword,6.1,FR
Female,0,0,Lotlux,video/mpeg,3.2,FR
Male,0,4,Transcof,application/excel,2.4,FR
Female,1,3,Holdlamis,application/x-troff-msvideo,6.9,FR
Male,0,4,Opela,application/mspowerpoint,8.8,US
Male,1,1,Tres-Zap,image/gif,14.9,FR
Male,0,1,Fix San,application/vnd.ms-excel,10.9,US
Female,0,2,Cardify,video/msvideo,11.4,FR
Female,0,2,Domainer,audio/mpeg3,14.0,FR
Male,1,5,Y-find,application/pdf,13.7,DE
Male,0,5,Flexidy,video/quicktime,13.3,FR
Female,0,5,Keylex,video/mpeg,19.8,US
Female,1,3,Alphazap,image/x-tiff,24.2,FR
Female,1,2,Zamit,text/plain,24.7,US
Female,1,2,Span,image/x-tiff,14.0,FR
Male,1,2,Cardguard,application/vnd.ms-excel,21.4,US
Male,1,5,Y-find,application/x-mspowerpoint,20.0,US
Male,0,3,Y-find,audio/x-mpeg-3,14.0,FR
Male,1,2,Konklux,video/mpeg,4.7,FR
Female,1,4,Toughjoyfax,application/x-mspowerpoint,13.4,FR
Female,0,3,Tresom,application/vnd.ms-powerpoint,20.7,US
Female,0,4,Zoolab,image/png,23.4,US
