gender,d1,p1,app_name,mime_type,n1,cc
Male,1,3,Hatity,image/tiff,6.9,FR
Male,0,0,Ronstring,image/x-tiff,6.8,FR
Female,1,1,Holdlamis,application/msword,16.6,FR
Female,1,2,Bigtax,video/quicktime,9.9,FR
Male,0,3,Subin,application/vnd.ms-excel,24.9,FR
Female,1,4,Bytecard,application/x-excel,13.7,FR
Female,0,1,Sonsing,video/mpeg,10.8,FR
Female,1,3,Regrant,application/mspowerpoint,18.9,FR
Female,0,2,Keylex,application/vnd.ms-excel,22.0,US
Male,0,3,Alphazap,application/x-msexcel,15.7,FR
Female,0,0,Duobam,audio/mpeg3,2.5,FR
Male,0,3,Ronstring,application/powerpoint,12.1,FR
Female,1,2,Hatity,application/x-excel,7.6,FR
Female,1,2,Lotstring,image/pjpeg,3.3,FR
Male,0,3,Holdlamis,application/powerpoint,6.9,FR
Male,0,4,Ventosanzap,video/quicktime,6.3,FR
Female,1,3,Fintone,video/avi,12.9,FR
Male,1,2,Flowdesk,application/vnd.ms-powerpoint,4.2,US
Male,1,2,Konklux,application/x-msexcel,19.4,US
Male,0,4,Opela,video/avi,4.7,IL
Female,0,1,Stronghold,video/x-msvideo,24.4,FR
Male,1,3,Tampflex,video/avi,14.9,FR
Male,1,5,Cookley,application/vnd.ms-powerpoint,11.8,GB
