gender,d1,p1,app_name,mime_type,n1,cc
Female,1,4,Cardify,video/x-mpeg,17.9,US
Male,1,2,Fix San,video/mpeg,22.1,FR
Female,0,2,Flowdesk,text/plain,6.6,US
Female,1,4,Aerified,application/pdf,13.4,US
Male,0,3,Regrant,application/msword,20.1,FR
Male,1,1,Cardify,video/avi,24.1,IL
Male,0,2,Tres-Zap,image/png,17.1,FR
Female,1,4,Span,image/pjpeg,15.3,FR
Female,1,2,Bitchip,application/msword,6.8,US
Male,0,3,Prodder,image/tiff,1.3,FR
Female,0,3,Voyatouch,video/msvideo,7.9,US
Male,1,2,Kanlam,video/msvideo,20.0,FR
Male,1,3,Lotlux,application/x-mspowerpoint,14.8,FR
Male,0,4,Biodex,application/powerpoint,6.7,US
Male,0,0,Rank,image/x-tiff,20.2,IL
Male,0,2,Bitchip,video/msvideo,23.1,US
Female,0,3,Zaam-Dox,application/powerpoint,6.9,US
Male,0,0,Y-Solowarm,image/tiff,2.1,FR
Female,1,3,Konklux,image/tiff,23.0,US
Male,1,1,Lotstring,image/pjpeg,22.1,FR
Female,0,1,Greenlam,text/plain,2.8,FR
Male,0,3,Zamit,image/jpeg,11.6,FR
Female,1,2,Bigtax,application/x-mspowerpoint,20.6,US
Female,1,4,It,application/excel,7.9,US
Male,1,2,Flexidy,video/avi,16.0,US
Female,0,1,Tampflex,image/gif,10.1,FR
