gender,d1,p1,app_name,mime_type,n1,cc
Female,0,3,Tempsoft,application/msword,19.7,US
Male,0,7,Y-find,image/jpeg,6.6,GB
Female,1,5,Stringtough,video/msvideo,10.0,FR
Male,0,2,Latlux,video/mpeg,16.7,FR
Female,0,1,Transcof,application/pdf,13.6,FR
Female,0,2,Regrant,audio/x-mpeg-3,5.6,FR
Female,1,4,Voyatouch,application/mspowerpoint,5.3,IL
Male,0,5,Wrapsafe,image/jpeg,3.3,US
Male,1,7,Kanlam,image/pjpeg,22.1,FR
Male,0,5,Stim,application/msword,5.6,FR
Male,0,3,Sonair,video/msvideo,3.1,US
Male,1,2,Sonair,application/vnd.ms-powerpoint,16.4,US
Male,1,4,Fix San,video/quicktime,6.6,GB
Female,1,2,Keylex,video/quicktime,11.3,FR
Male,1,5,Konklux,application/vnd.ms-excel,23.0,FR
Female,0,1,Latlux,application/x-msexcel,20.4,FR
Female,1,3,Zontrax,image/pjpeg,3.3,US
Female,0,3,Temp,application/excel,17.8,US
Male,0,1,Stringtough,application/x-msexcel,19.6,FR
Female,1,0,Otcom,video/mpeg,12.6,FR
Male,1,1,Regrant,application/pdf,18.2,FR
Female,0,3,Alpha,image/jpeg,9.7,FR
Male,1,2,Viva,image/png,17.9,US
Female,1,2,Latlux,image/gif,21.5,US
Male,1,1,Overhold,application/vnd.ms-excel,15.2,FR
