gender,d1,p1,app_name,mime_type,n1,cc
Male,0,5,Alpha,application/x-excel,13.9,FR
Female,0,2,Toughjoyfax,image/pjpeg,19.0,FR
Male,1,4,Fintone,video/mpeg,3.1,US
Male,1,3,Transcof,video/avi,4.4,US
Male,1,2,Y-find,application/x-excel,20.1,FR
Female,1,2,Stronghold,application/vnd.ms-excel,22.5,US
Female,1,1,Solarbreeze,application/msword,18.2,US
Female,0,2,Redhold,application/x-mspowerpoint,18.4,DE
Female,1,3,Overhold,application/x-troff-msvideo,11.3,DE
Male,1,2,Latlux,image/x-tiff,19.6,US
Male,1,3,Span,video/quicktime,9.5,FR
