gender,d1,p1,app_name,mime_type,n1,cc
Male,0,2,Latlux,image/x-tiff,8.3,FR
Female,1,1,Andalax,application/x-mspowerpoint,17.6,US
Male,1,4,Konklab,video/mpeg,14.6,US
Male,0,2,Andalax,audio/mpeg3,17.7,DE
Male,1,3,Zamit,video/avi,14.5,FR
Male,0,3,Lotlux,image/pjpeg,3.5,US
Male,0,1,Bytecard,application/msword,8.1,FR
Male,1,3,Y-Solowarm,application/pdf,17.3,FR
Male,0,3,Temp,application/vnd.ms-excel,12.9,US
Female,1,7,Stronghold,video/avi,13.5,US
Male,1,1,Kanlam,video/x-mpeg,5.3,FR
Male,0,1,Tres-Zap,audio/mpeg3,2.0,IL
Male,1,1,Flowdesk,video/quicktime,1.3,FR
Male,1,2,Regrant,image/x-tiff,18.5,US
Female,1,2,Tempsoft,image/jpeg,19.3,FR
Male,0,2,Tres-Zap,image/png,2.9,FR
Female,0,5,Cookley,audio/mpeg3,1.8,US
Male,0,6,Tresom,application/powerpoint,9.3,FR
Male,1,3,Zaam-Dox,application/msword,7.8,FR
Female,0,2,Flexidy,application/vnd.ms-excel,6.3,IT
Female,1,6,Lotstring,image/pjpeg,24.0,FR
Female,1,4,Y-find,application/x-troff-msvideo,16.0,US
Male,1,5,Greenlam,video/avi,6.8,FR
Male,1,5,Mat Lam Tam,video/quicktime,8.1,FR
Female,0,2,Quo Lux,image/pjpeg,5.8,FR
